Model,Overall mAP,Verb mAP,Object mAP,Action mAP,Verb F1 (macro),Object F1 (macro),Action F1 (macro),Verb F1 (micro),Object F1 (micro),Action F1 (micro),Verb Precision,Object Precision,Action Precision,Verb Recall,Object Recall,Action Recall,Verb Hamming Loss,Object Hamming Loss,Action Hamming Loss,Total Loss
pretrained_finetune,0.29337430000305176,0.385151207447052,0.31812041997909546,0.17685124278068542,0.22840984165668488,0.1550375521183014,0.04869343340396881,0.5076831579208374,0.2837657928466797,0.10445129871368408,0.48595479130744934,0.37764859199523926,0.16913793981075287,0.1850813925266266,0.11507511883974075,0.03338213264942169,0.1345246285200119,0.12171406298875809,0.0556076243519783,0.8358904719352722
from_scratch,0.15542972087860107,0.22330988943576813,0.16616231203079224,0.07681697607040405,0.044352151453495026,0.014890885911881924,0.0,0.29489052295684814,0.11469250172376633,0.0,0.07320249080657959,0.014619884081184864,0.0,0.04569067806005478,0.015172125771641731,0.0,0.15721121430397034,0.12654757499694824,0.05648333951830864,0.9171504378318787
